epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,783.92,1.01068,1.91103,1.2137,1.04325,0.66216,0.5744,0.60011,0.37752,0.58659,0.51299,0.52397,0.33033,1.89656,3.58966,2.63825,1.79944,0.000972426,0.000972426,0.000972426
65,795.047,1.02645,1.9781,1.24088,1.05771,0.58764,0.54714,0.53764,0.36039,0.48905,0.4997,0.46931,0.31299,1.86269,3.50135,2.65559,1.76159,0.000970227,0.000970227,0.000970227
66,806.069,1.01415,1.88016,1.16048,1.03473,0.54378,0.46492,0.49567,0.31695,0.50777,0.41592,0.44092,0.27757,1.93997,3.74689,2.97945,1.79718,0.000968027,0.000968027,0.000968027
67,817.28,1.03304,1.96111,1.23816,1.04252,0.64154,0.51833,0.52084,0.34779,0.60156,0.49882,0.48127,0.30935,1.88605,3.72143,2.70142,1.86359,0.000965828,0.000965828,0.000965828
68,828.381,0.99773,1.88756,1.18668,1.0403,0.59981,0.49527,0.53404,0.36174,0.55677,0.4703,0.4932,0.29935,1.86911,3.78415,2.72694,1.72929,0.000963628,0.000963628,0.000963628
69,840.809,1.01058,1.89502,1.19556,1.03212,0.68742,0.51006,0.57321,0.37136,0.61266,0.4741,0.51265,0.33722,1.90021,3.60006,2.52367,1.83532,0.000961429,0.000961429,0.000961429
70,853.26,1.02044,1.96678,1.22297,1.03772,0.4847,0.5306,0.52109,0.33559,0.51625,0.43777,0.45637,0.28535,1.92072,3.76067,2.87549,1.79115,0.000959229,0.000959229,0.000959229
71,865.93,1.03607,1.92014,1.22224,1.05067,0.61138,0.58698,0.55472,0.36677,0.51275,0.49784,0.45731,0.31527,1.83842,3.47202,2.54845,1.74251,0.000957029,0.000957029,0.000957029
72,878.077,1.0434,1.95117,1.23754,1.05752,0.59333,0.54123,0.55206,0.35411,0.49052,0.4644,0.46091,0.30853,1.77736,3.70339,2.75692,1.64512,0.00095483,0.00095483,0.00095483
73,890.187,0.98909,1.9398,1.17966,1.0244,0.59224,0.54845,0.54676,0.35274,0.51439,0.48164,0.43924,0.30199,1.83339,3.55111,2.87788,1.70955,0.00095263,0.00095263,0.00095263
