epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1823.01,0.79312,1.21841,0.93967,1.77409,0.87687,0.83326,0.88795,0.65291,0.8726,0.83783,0.87949,0.60394,0.93649,1.4486,1.02082,1.96722,0.000345551,0.000345551,0.000345551
71,1848.88,0.78531,1.21207,0.94247,1.77264,0.84838,0.83768,0.88001,0.6473,0.85713,0.82801,0.87352,0.59926,0.94541,1.43676,1.05079,1.97769,0.000344762,0.000344762,0.000344762
72,1876.04,0.77854,1.20458,0.92884,1.76727,0.86554,0.8302,0.88118,0.64887,0.87275,0.8229,0.87091,0.60048,0.94057,1.42694,1.02665,1.96671,0.000343972,0.000343972,0.000343972
73,1901.38,0.79207,1.21779,0.94691,1.76483,0.86961,0.82431,0.87939,0.64955,0.89124,0.81087,0.87298,0.60237,0.94707,1.47111,1.03929,1.97308,0.000343183,0.000343183,0.000343183
74,1926.02,0.77404,1.19594,0.92984,1.76746,0.87018,0.82757,0.87655,0.64071,0.87647,0.82787,0.87,0.59504,0.9573,1.47804,1.04096,2.00075,0.000342394,0.000342394,0.000342394
75,1951.85,0.78273,1.20897,0.91447,1.76775,0.87957,0.8254,0.88288,0.64936,0.88335,0.82689,0.87605,0.6009,0.94266,1.44039,1.01637,1.97241,0.000341605,0.000341605,0.000341605
76,1979.27,0.77447,1.1919,0.90497,1.75682,0.87197,0.84272,0.88851,0.65281,0.87844,0.83232,0.87676,0.60586,0.93962,1.44079,1.01894,1.96639,0.000340816,0.000340816,0.000340816
77,2005.21,0.77247,1.19144,0.91209,1.76106,0.87333,0.82447,0.88141,0.65151,0.88451,0.81897,0.87268,0.60189,0.93364,1.44025,1.03835,1.96084,0.000340027,0.000340027,0.000340027
78,2030.21,0.76525,1.18607,0.90117,1.75357,0.88629,0.82832,0.88229,0.65361,0.88789,0.8264,0.87373,0.60179,0.93211,1.48097,1.01161,1.95847,0.000339238,0.000339238,0.000339238
79,2055.27,0.77982,1.22146,0.9157,1.7625,0.88162,0.81986,0.88049,0.65156,0.89187,0.81326,0.87075,0.60576,0.93066,1.43568,1.02714,1.95949,0.000338449,0.000338449,0.000338449
80,2080.17,0.76964,1.17436,0.90487,1.75355,0.87846,0.80833,0.87486,0.6469,0.88174,0.80422,0.86636,0.59783,0.94544,1.46089,1.03766,1.9802,0.00033766,0.00033766,0.00033766
81,2107.42,0.7648,1.18592,0.89739,1.76433,0.86223,0.84574,0.88418,0.65143,0.87643,0.8358,0.87737,0.60113,0.93616,1.44007,1.00986,1.96808,0.00033687,0.00033687,0.00033687
82,2132.51,0.76579,1.16544,0.89472,1.75214,0.87494,0.82212,0.87909,0.6442,0.87644,0.81854,0.86777,0.59694,0.94901,1.45291,1.03621,1.97253,0.000336081,0.000336081,0.000336081
83,2157.31,0.76345,1.18627,0.89567,1.75679,0.87412,0.82801,0.88152,0.64646,0.87552,0.82738,0.87316,0.60088,0.95257,1.45736,1.02291,1.99829,0.000335292,0.000335292,0.000335292
84,2182.29,0.76482,1.18016,0.8946,1.75309,0.88009,0.83633,0.88252,0.64842,0.8808,0.83616,0.8774,0.59815,0.93502,1.4484,1.0106,1.96741,0.000334503,0.000334503,0.000334503
85,2207.88,0.76438,1.16856,0.89299,1.75548,0.89228,0.83421,0.89222,0.65869,0.8885,0.83391,0.88439,0.60928,0.93381,1.44954,0.98852,1.96814,0.000333714,0.000333714,0.000333714
86,2234.76,0.76636,1.19316,0.89922,1.74863,0.89415,0.81991,0.88736,0.65142,0.89416,0.816,0.87514,0.60437,0.9514,1.48972,1.01103,1.98694,0.000332925,0.000332925,0.000332925
87,2259.95,0.76041,1.17645,0.88443,1.74545,0.88841,0.82761,0.8871,0.65379,0.88492,0.83578,0.87574,0.60021,0.94623,1.45114,0.99174,1.981,0.000332136,0.000332136,0.000332136
88,2284.68,0.76181,1.17677,0.88724,1.75037,0.87465,0.83431,0.88606,0.65012,0.87888,0.83786,0.87964,0.60001,0.94241,1.44525,1.00617,1.97636,0.000331347,0.000331347,0.000331347
89,2309,0.75024,1.15873,0.87489,1.7457,0.87428,0.82432,0.88028,0.64359,0.88209,0.82607,0.8745,0.60325,0.95286,1.45658,1.01513,1.98511,0.000330557,0.000330557,0.000330557
90,2335.17,0.757,1.16452,0.86878,1.74059,0.86863,0.83237,0.87764,0.64662,0.87926,0.82251,0.8723,0.59976,0.94191,1.51322,1.02139,1.97828,0.000329768,0.000329768,0.000329768
91,2361.36,0.75565,1.17712,0.86775,1.74411,0.89051,0.83073,0.88822,0.65145,0.88993,0.82534,0.879,0.60848,0.94773,1.45493,0.99684,1.98276,0.000328979,0.000328979,0.000328979
92,2386.38,0.74914,1.15103,0.85995,1.73894,0.87957,0.82281,0.88073,0.64662,0.88289,0.82208,0.87387,0.59955,0.95139,1.49248,1.01921,1.99401,0.00032819,0.00032819,0.00032819
93,2411.47,0.75119,1.15288,0.87092,1.7378,0.88559,0.83366,0.88495,0.65371,0.87967,0.83142,0.87554,0.60442,0.94033,1.463,0.99916,1.96701,0.000327401,0.000327401,0.000327401
94,2436.7,0.75171,1.1544,0.85599,1.73385,0.87605,0.82836,0.88246,0.64807,0.89775,0.81543,0.87479,0.60249,0.94627,1.4969,1.01184,1.97903,0.000326612,0.000326612,0.000326612
95,2463.28,0.75138,1.14855,0.86084,1.73321,0.87207,0.84297,0.88605,0.65077,0.87959,0.82622,0.87296,0.60452,0.93891,1.49375,0.99902,1.99403,0.000325823,0.000325823,0.000325823
96,2489.15,0.74267,1.14443,0.85621,1.73731,0.86499,0.82843,0.87597,0.6446,0.88086,0.82062,0.86957,0.59984,0.94275,1.48962,1.01882,1.98505,0.000325034,0.000325034,0.000325034
97,2514.38,0.7425,1.14355,0.84795,1.72915,0.88956,0.82216,0.88385,0.65597,0.89692,0.82289,0.87458,0.60891,0.92907,1.46008,0.97524,1.96478,0.000324244,0.000324244,0.000324244
98,2539.63,0.74818,1.14624,0.85616,1.7399,0.87011,0.83276,0.87858,0.65164,0.86839,0.83317,0.87236,0.60115,0.93686,1.48023,0.99556,1.96435,0.000323455,0.000323455,0.000323455
99,2565,0.73832,1.13142,0.84411,1.72738,0.88995,0.82953,0.88526,0.65407,0.8888,0.82735,0.87183,0.60405,0.93925,1.44833,0.97938,1.96805,0.000322666,0.000322666,0.000322666
100,2592.67,0.74649,1.14094,0.84807,1.7315,0.8854,0.82411,0.8811,0.65181,0.88837,0.82436,0.87666,0.60519,0.93979,1.46167,1.00639,1.9634,0.000321877,0.000321877,0.000321877
